Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	HPMR.Ligand	HPMR.Receptor	PMID.Manual	Pair.Source	Pair.Evidence
A2M_LRP1	A2M	alpha-2-macroglobulin	LRP1	low density lipoprotein receptor-related protein 1		HPMR		HPRD	STRING.binding	STRING.experiment	A2M	LRP1		known	literature supported
AANAT_MTNR1A	AANAT	aralkylamine N-acetyltransferase	MTNR1A	melatonin receptor 1A		HPMR					AANAT	MTNR1A		known	literature supported
AANAT_MTNR1B	AANAT	aralkylamine N-acetyltransferase	MTNR1B	melatonin receptor 1B		HPMR					AANAT	MTNR1B		known	literature supported
ACE_AGTR2	ACE	angiotensin I converting enzyme	AGTR2	angiotensin II receptor, type 2				HPRD			ACE	AGTR2		novel	literature supported
ACE_BDKRB2	ACE	angiotensin I converting enzyme	BDKRB2	bradykinin receptor B2				HPRD			ACE	BDKRB2		novel	literature supported
ADAM10_AXL	ADAM10	ADAM metallopeptidase domain 10	AXL	AXL receptor tyrosine kinase				HPRD			ADAM10	AXL		novel	literature supported
ADAM10_EPHA3	ADAM10	ADAM metallopeptidase domain 10	EPHA3	EPH receptor A3				HPRD		STRING.experiment	ADAM10	EPHA3		novel	literature supported
ADAM12_ITGA9	ADAM12	ADAM metallopeptidase domain 12	ITGA9	integrin, alpha 9		HPMR			STRING.binding		ADAM12	ITGA9		known	literature supported
ADAM12_ITGB1	ADAM12	ADAM metallopeptidase domain 12	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR			STRING.binding		ADAM12	ITGB1		known	literature supported
ADAM12_SDC4	ADAM12	ADAM metallopeptidase domain 12	SDC4	syndecan 4		HPMR			STRING.binding		ADAM12	SDC4		known	literature supported
ADAM15_ITGA5	ADAM15	ADAM metallopeptidase domain 15	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)		HPMR					ADAM15	ITGA5		known	literature supported
ADAM15_ITGA9	ADAM15	ADAM metallopeptidase domain 15	ITGA9	integrin, alpha 9		HPMR			STRING.binding		ADAM15	ITGA9		known	literature supported
ADAM15_ITGAV	ADAM15	ADAM metallopeptidase domain 15	ITGAV	integrin, alpha V					STRING.binding		ADAM15	ITGAV	9914169	novel	literature supported
ADAM15_ITGB1	ADAM15	ADAM metallopeptidase domain 15	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR			STRING.binding		ADAM15	ITGB1		known	literature supported
ADAM15_ITGB3	ADAM15	ADAM metallopeptidase domain 15	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)		HPMR					ADAM15	ITGB3		known	literature supported
ADAM17_ERBB4	ADAM17	ADAM metallopeptidase domain 17	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4				HPRD			ADAM17	ERBB4		novel	literature supported
ADAM17_ITGA5	ADAM17	ADAM metallopeptidase domain 17	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)		HPMR					ADAM17	ITGA5		known	literature supported
ADAM17_ITGB1	ADAM17	ADAM metallopeptidase domain 17	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR					ADAM17	ITGB1		known	literature supported
ADAM17_NOTCH1	ADAM17	ADAM metallopeptidase domain 17	NOTCH1	notch 1				HPRD	STRING.binding		ADAM17	NOTCH1		novel	literature supported
ADAM23_ITGA5	ADAM23	ADAM metallopeptidase domain 23	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)		HPMR					ADAM23	ITGA5		known	literature supported
ADAM23_ITGB3	ADAM23	ADAM metallopeptidase domain 23	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)		HPMR					ADAM23	ITGB3		known	literature supported
ADAM28_ITGA4	ADAM28	ADAM metallopeptidase domain 28	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)				HPRD			ADAM28	ITGA4		novel	literature supported
ADAM2_CD9	ADAM2	ADAM metallopeptidase domain 2	CD9	CD9 molecule				HPRD			ADAM2	CD9		novel	literature supported
ADAM2_ITGA6	ADAM2	ADAM metallopeptidase domain 2	ITGA6	integrin, alpha 6		HPMR					ADAM2	ITGA6		known	literature supported
ADAM2_ITGA9	ADAM2	ADAM metallopeptidase domain 2	ITGA9	integrin, alpha 9					STRING.binding		ADAM2	ITGA9	21060781	novel	literature supported
ADAM2_ITGB1	ADAM2	ADAM metallopeptidase domain 2	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR			STRING.binding		ADAM2	ITGB1		known	literature supported
ADAM2_ITGB7	ADAM2	ADAM metallopeptidase domain 2	ITGB7	integrin, beta 7									21060781	novel	literature supported
ADAM9_ITGA3	ADAM9	ADAM metallopeptidase domain 9	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)				HPRD			ADAM9	ITGA3		novel	literature supported
ADAM9_ITGA6	ADAM9	ADAM metallopeptidase domain 9	ITGA6	integrin, alpha 6		HPMR		HPRD			ADAM9	ITGA6		known	literature supported
ADAM9_ITGAV	ADAM9	ADAM metallopeptidase domain 9	ITGAV	integrin, alpha V		HPMR		HPRD			ADAM9	ITGAV		known	literature supported
ADAM9_ITGB1	ADAM9	ADAM metallopeptidase domain 9	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR					ADAM9	ITGB1		known	literature supported
ADAM9_ITGB5	ADAM9	ADAM metallopeptidase domain 9	ITGB5	integrin, beta 5		HPMR					ADAM9	ITGB5		known	literature supported
ADCYAP1_ADCYAP1R1	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I		HPMR	IUPHAR	HPRD			ADCYAP1	ADCYAP1R1		known	literature supported
ADCYAP1_SCTR	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	SCTR	secretin receptor				HPRD			ADCYAP1	SCTR		novel	literature supported
ADCYAP1_VIPR1	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	VIPR1	vasoactive intestinal peptide receptor 1		HPMR	IUPHAR	HPRD			ADCYAP1	VIPR1		known	literature supported
ADCYAP1_VIPR2	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	VIPR2	vasoactive intestinal peptide receptor 2			IUPHAR	HPRD			ADCYAP1	VIPR2		known	literature supported
ADIPOQ_ADIPOR1	ADIPOQ	adiponectin, C1Q and collagen domain containing	ADIPOR1	adiponectin receptor 1		HPMR			STRING.binding		ADIPOQ	ADIPOR1		known	literature supported
ADIPOQ_ADIPOR2	ADIPOQ	adiponectin, C1Q and collagen domain containing	ADIPOR2	adiponectin receptor 2		HPMR		HPRD			ADIPOQ	ADIPOR2		known	literature supported
ADM2_CALCR	ADM2	adrenomedullin 2	CALCR	calcitonin receptor			IUPHAR				ADM2	CALCR		known	literature supported
ADM2_CALCRL	ADM2	adrenomedullin 2	CALCRL	calcitonin receptor-like		HPMR					ADM2	CALCRL		known	literature supported
