interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,ligand_symbol,receptor_symbol,ligand_ensembl,receptor_ensembl,interaction_symbol,interaction_ensembl
TGFB1_TGFBR1_TGFBR2,TGFb,Tgfb1,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: mmu04350,Secreted Signaling,Tgfb1 - (Tgfbr1+Tgfbr2),Tgfb1,Tgfbr1&Tgfbr2,ENSMUSG00000002603,ENSMUSG00000007613&ENSMUSG00000032440,Tgfb1^Tgfbr1&Tgfbr2,ENSMUSG00000002603^ENSMUSG00000007613&ENSMUSG00000032440
TGFB2_TGFBR1_TGFBR2,TGFb,Tgfb2,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: mmu04350,Secreted Signaling,Tgfb2  - (Tgfbr1+Tgfbr2),Tgfb2,Tgfbr1&Tgfbr2,ENSMUSG00000039239,ENSMUSG00000007613&ENSMUSG00000032440,Tgfb2^Tgfbr1&Tgfbr2,ENSMUSG00000039239^ENSMUSG00000007613&ENSMUSG00000032440
TGFB3_TGFBR1_TGFBR2,TGFb,Tgfb3,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: mmu04350,Secreted Signaling,Tgfb3  - (Tgfbr1+Tgfbr2),Tgfb3,Tgfbr1&Tgfbr2,ENSMUSG00000021253,ENSMUSG00000007613&ENSMUSG00000032440,Tgfb3^Tgfbr1&Tgfbr2,ENSMUSG00000021253^ENSMUSG00000007613&ENSMUSG00000032440
TGFB1_ACVR1B_TGFBR2,TGFb,Tgfb1,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb1  - (Acvr1b+Tgfbr2),Tgfb1,Acvr1b&Tgfbr2,ENSMUSG00000002603,ENSMUSG00000000532&ENSMUSG00000032440,Tgfb1^Acvr1b&Tgfbr2,ENSMUSG00000002603^ENSMUSG00000000532&ENSMUSG00000032440
TGFB1_ACVR1C_TGFBR2,TGFb,Tgfb1,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb1  - (Acvr1c+Tgfbr2),Tgfb1,Acvr1c&Tgfbr2,ENSMUSG00000002603,ENSMUSG00000026834&ENSMUSG00000032440,Tgfb1^Acvr1c&Tgfbr2,ENSMUSG00000002603^ENSMUSG00000026834&ENSMUSG00000032440
TGFB2_ACVR1B_TGFBR2,TGFb,Tgfb2,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb2  - (Acvr1b+Tgfbr2),Tgfb2,Acvr1b&Tgfbr2,ENSMUSG00000039239,ENSMUSG00000000532&ENSMUSG00000032440,Tgfb2^Acvr1b&Tgfbr2,ENSMUSG00000039239^ENSMUSG00000000532&ENSMUSG00000032440
TGFB2_ACVR1C_TGFBR2,TGFb,Tgfb2,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb2  - (Acvr1c+Tgfbr2),Tgfb2,Acvr1c&Tgfbr2,ENSMUSG00000039239,ENSMUSG00000026834&ENSMUSG00000032440,Tgfb2^Acvr1c&Tgfbr2,ENSMUSG00000039239^ENSMUSG00000026834&ENSMUSG00000032440
TGFB3_ACVR1B_TGFBR2,TGFb,Tgfb3,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb3  - (Acvr1b+Tgfbr2),Tgfb3,Acvr1b&Tgfbr2,ENSMUSG00000021253,ENSMUSG00000000532&ENSMUSG00000032440,Tgfb3^Acvr1b&Tgfbr2,ENSMUSG00000021253^ENSMUSG00000000532&ENSMUSG00000032440
TGFB3_ACVR1C_TGFBR2,TGFb,Tgfb3,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb3  - (Acvr1c+Tgfbr2),Tgfb3,Acvr1c&Tgfbr2,ENSMUSG00000021253,ENSMUSG00000026834&ENSMUSG00000032440,Tgfb3^Acvr1c&Tgfbr2,ENSMUSG00000021253^ENSMUSG00000026834&ENSMUSG00000032440
TGFB1_ACVR1_TGFBR1,TGFb,Tgfb1,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,Tgfb1  - (Acvr1+Tgfbr1),Tgfb1,Acvr1&Tgfbr1&Tgfbr2,ENSMUSG00000002603,ENSMUSG00000026836&ENSMUSG00000007613&ENSMUSG00000032440,Tgfb1^Acvr1&Tgfbr1&Tgfbr2,ENSMUSG00000002603^ENSMUSG00000026836&ENSMUSG00000007613&ENSMUSG00000032440
TGFB2_ACVR1_TGFBR1,TGFb,Tgfb2,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,Tgfb2  - (Acvr1+Tgfbr1),Tgfb2,Acvr1&Tgfbr1&Tgfbr2,ENSMUSG00000039239,ENSMUSG00000026836&ENSMUSG00000007613&ENSMUSG00000032440,Tgfb2^Acvr1&Tgfbr1&Tgfbr2,ENSMUSG00000039239^ENSMUSG00000026836&ENSMUSG00000007613&ENSMUSG00000032440
TGFB3_ACVR1_TGFBR1,TGFb,Tgfb3,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,Tgfb3  - (Acvr1+Tgfbr1),Tgfb3,Acvr1&Tgfbr1&Tgfbr2,ENSMUSG00000021253,ENSMUSG00000026836&ENSMUSG00000007613&ENSMUSG00000032440,Tgfb3^Acvr1&Tgfbr1&Tgfbr2,ENSMUSG00000021253^ENSMUSG00000026836&ENSMUSG00000007613&ENSMUSG00000032440
